project_id,station,budget_musd,planned_months,vendor_count,scope_changes,is_regulatory,prior_overruns_at_station,overrun
37,ST10,2.0725800744762815,13,2,1,1,1,0
38,ST02,0.6507284780722742,17,2,1,0,0,0
39,ST08,0.7539838062767976,16,2,2,1,1,0
40,ST14,4.0543847369960195,24,1,3,0,0,1
41,ST16,3.324396915645117,8,5,1,1,3,1
42,ST08,1.3806024034777589,8,2,2,0,0,0
43,ST15,0.947412047273186,11,3,1,1,2,1
44,ST14,3.319938532878267,19,2,1,0,0,0
45,ST01,0.6097771591785892,22,1,1,1,0,0
46,ST11,1.8471138105281155,9,5,1,0,2,1
47,ST11,8.315549473934608,5,2,4,1,0,1
48,ST10,1.5908755830098051,16,1,1,0,0,1
49,ST14,0.7257950651529773,16,2,0,1,0,0
50,ST16,1.8744119098363217,11,1,1,1,1,0
51,ST10,0.9268097418421452,7,5,1,1,4,0
52,ST06,0.44250979685110237,21,1,1,0,0,0
53,ST17,2.365120143996316,21,2,0,0,0,1
54,ST17,3.3011388679652494,19,2,3,0,1,1
55,ST12,1.0526119664504914,15,1,0,0,0,0
56,ST11,0.9982130592062286,8,1,2,1,0,0
57,ST02,0.625469749160685,11,3,3,1,0,1
58,ST07,1.1972790449014326,4,2,1,0,2,0
59,ST04,0.8607986082907292,8,1,2,1,1,0
60,ST09,0.6012008848111678,12,2,0,0,0,0
61,ST15,6.133313022053808,12,2,5,1,1,1
62,ST04,1.9604896302554882,4,3,1,0,1,0
63,ST17,2.133824877368671,24,5,0,1,1,1
64,ST03,2.736609252959314,8,2,0,0,0,0
65,ST02,2.5013459660291386,14,4,1,0,4,0
66,ST17,0.9699721082909281,13,4,3,0,2,1
67,ST02,1.6787376268554264,13,1,1,0,0,1
68,ST13,1.0884727997034256,21,3,1,1,1,0
69,ST13,1.9170180884330807,19,3,1,1,1,0
70,ST06,1.7742054852355222,22,3,0,0,3,0
71,ST02,0.9938905304807945,11,1,0,0,2,0
72,ST06,0.4660608945762327,8,3,1,1,1,0
73,ST02,1.517386801181977,12,1,1,1,2,1
74,ST12,1.1463516369518576,15,5,1,0,0,0
75,ST16,0.2975128688875854,10,3,0,1,1,0
76,ST17,2.026133739224328,13,1,2,1,1,0
77,ST14,2.922015710075045,6,3,1,1,1,1
78,ST14,10.203034542049611,15,5,1,1,0,1
79,ST15,0.9871255908022513,18,4,1,0,1,0
80,ST14,0.8772445148181413,14,2,1,0,0,1
81,ST12,0.5556943732019308,22,5,0,1,0,1
82,ST17,1.5950634646422999,24,1,0,0,0,0
83,ST06,1.5870144463718798,22,2,1,0,1,0
84,ST08,0.7053669833623496,5,1,4,1,0,0
85,ST16,1.173576700222715,22,5,2,0,1,1
86,ST06,0.2772231411104144,10,4,1,1,1,1
87,ST06,2.8323348257278376,12,3,0,0,2,0
88,ST03,0.7286633812443402,12,4,0,0,2,0
89,ST05,1.3129479058532434,9,2,0,0,1,1
90,ST11,0.43112606517620944,22,1,1,0,2,1
91,ST16,0.8471454464189818,17,5,2,1,0,1
92,ST03,1.0793155359195383,24,5,2,1,0,1
93,ST12,1.3377208697702272,24,1,2,1,1,1
94,ST14,1.981365022379548,12,1,2,1,0,0
95,ST16,4.268489710028034,18,3,2,0,2,1
96,ST13,2.425817920233941,14,1,3,0,2,1
97,ST03,2.914597217722818,13,4,1,1,0,0
98,ST09,4.292559984522452,19,5,3,0,0,1
99,ST17,2.1292425480193993,18,2,1,1,1,1
100,ST16,1.3107955507096694,23,2,0,1,1,1
101,ST11,3.0261449780371197,19,5,0,1,5,1
102,ST17,3.1848571232932246,16,2,1,1,1,0
103,ST12,2.2678963196325252,23,2,1,1,3,0
104,ST02,0.421598399662602,5,1,2,1,4,1
105,ST16,0.6885494624721427,19,5,3,1,1,0
106,ST03,1.0834135128275524,11,5,0,0,1,0
107,ST07,2.518583943973938,12,1,0,0,0,1
108,ST05,1.3270027991681026,20,5,2,1,0,1
109,ST13,3.3517912578192055,9,1,1,0,1,1
110,ST01,3.8658798551280276,22,1,3,1,3,1
111,ST11,3.5230827054485023,13,2,3,0,0,0
112,ST15,3.5410824299666706,10,3,2,1,2,1
113,ST14,0.5888433301147492,10,5,0,1,4,0
114,ST06,1.9859718664073682,12,4,1,1,1,0
115,ST16,0.8302543056552416,23,1,2,1,0,0
116,ST07,0.3608643817383443,5,3,1,0,0,0
117,ST12,1.0725329504252628,14,5,0,0,2,0
118,ST09,3.8953735218413663,21,4,2,0,1,0
119,ST02,1.9514908288618988,13,2,2,0,0,0
120,ST01,6.781833528231303,15,1,1,1,2,1
121,ST04,1.555479901294922,10,3,2,1,1,1
122,ST16,9.566258836658504,5,3,1,0,3,1
123,ST17,1.5558421590532283,17,2,4,0,0,1
124,ST07,1.3743545969994615,23,1,1,1,1,0
125,ST17,0.4850457462454231,14,1,2,1,0,0
126,ST01,3.281990808989516,12,3,0,1,2,0
127,ST17,0.9033004079971767,5,5,0,1,0,0
128,ST04,0.8044164980565595,23,3,0,0,1,1
129,ST01,3.762126857272456,22,3,0,0,1,0
130,ST13,3.4095425578430207,22,5,4,0,2,1
131,ST07,3.338898939372077,10,4,2,0,3,0
132,ST05,1.0102997740004267,16,4,3,0,1,1
133,ST13,1.2959179785297315,12,3,3,0,3,1
134,ST06,1.2867459110914894,8,4,0,1,1,0
135,ST13,2.524428106346356,7,3,1,0,3,1
136,ST04,4.677911430549492,11,4,1,1,3,0
137,ST02,1.8121559049134068,15,4,1,1,0,0
138,ST06,6.552933868955229,5,4,2,1,1,1
139,ST11,2.7669774037233994,18,5,0,1,2,0
140,ST04,1.1186923792600116,13,2,3,1,0,0
141,ST03,2.619462449833674,22,4,1,0,2,0
142,ST13,5.284363743565108,9,1,2,0,0,0
143,ST09,6.676748961520139,4,3,2,1,0,0
144,ST08,3.488643838292941,9,5,0,1,2,1
145,ST05,1.3778710119188968,24,4,0,0,1,0
146,ST01,1.135014466600048,10,2,0,0,1,0
147,ST01,2.1401065186157515,18,4,0,0,2,1
148,ST12,5.150941926064961,21,2,1,0,1,1
149,ST02,1.9098320337978159,9,3,4,1,0,1
150,ST05,1.9418196502244136,17,2,0,0,0,1
151,ST16,1.4065195990190984,7,4,0,1,0,0
152,ST06,1.038406316530963,10,1,3,1,1,1
153,ST13,1.1856514788323886,9,3,1,1,1,0
154,ST06,1.5043197282337784,17,5,1,0,1,1
155,ST16,5.336019681224161,22,4,1,0,1,1
156,ST14,1.1143028660997163,8,3,0,0,0,0
157,ST08,1.4078865239874763,9,5,2,1,3,1
158,ST12,0.675499995444885,21,1,1,1,0,0
159,ST08,2.394812292802095,13,5,0,0,2,0
160,ST17,4.028295537621942,14,2,0,0,0,0
161,ST07,4.951043075799062,18,5,0,1,0,0
162,ST15,1.5883434531431424,6,5,0,1,2,1
163,ST11,2.137171929177773,22,4,2,1,2,1
164,ST11,1.1938217816904053,11,4,2,1,1,0
165,ST06,2.059400546801879,17,4,1,1,1,0
166,ST15,1.7352857929575853,12,2,1,0,1,0
167,ST13,1.414267189691034,19,1,2,0,1,0
168,ST14,1.5071236305761562,16,2,1,1,1,1
169,ST14,1.9377699987207382,6,3,4,0,1,1
170,ST03,1.06681551010227,7,4,3,1,4,0
171,ST15,1.1118247298204487,22,2,0,1,1,0
172,ST15,5.290377534675849,14,3,1,0,0,1
173,ST05,11.803987700196071,9,1,3,0,1,0
174,ST17,0.5150488343531381,6,1,0,0,0,0
175,ST09,0.4928369137099651,5,5,1,1,0,0
176,ST06,0.6276815907153552,23,5,0,1,0,1
177,ST04,1.2428029447340763,24,5,0,1,0,0
178,ST07,2.7638493741873624,11,2,1,1,1,1
179,ST01,2.166260379808739,7,3,1,1,0,0
180,ST12,1.5490237742183999,12,4,0,0,0,0
181,ST13,2.060911658484496,6,2,0,0,1,0
182,ST12,0.7759486564916978,15,4,2,1,1,0
183,ST10,1.1103794265078533,16,4,0,1,2,0
184,ST07,1.3283324536120567,24,3,3,1,2,0
185,ST13,0.38008017141839495,10,3,2,0,0,0
186,ST15,0.5330989825131673,7,2,1,0,0,0
187,ST02,0.5503213773108392,5,5,1,0,1,0
188,ST07,2.487520867467344,11,5,0,0,0,0
189,ST17,1.6426059241033955,16,5,2,1,0,0
190,ST15,2.20086168803612,4,4,2,0,1,0
191,ST17,0.3098323321540105,19,2,1,0,2,1
192,ST04,0.4119499783228848,13,4,1,1,2,0
193,ST08,2.294631702004822,20,2,0,1,1,1
194,ST03,0.14617719725882597,13,5,1,0,0,1
195,ST15,3.5955734299184274,6,2,1,1,2,1
196,ST09,0.31390850690446087,3,3,0,1,1,0
197,ST05,2.6503081427999877,15,1,1,1,0,0
198,ST02,0.6630746507031818,14,1,1,0,2,0
199,ST13,3.12402730437862,20,2,1,1,2,1
200,ST14,17.57590150526637,22,3,2,1,1,0
201,ST15,0.21903097866089088,6,1,3,1,3,0
202,ST17,2.3544372006412098,9,5,4,1,3,0
203,ST14,0.31773735317812746,7,1,2,0,0,0
204,ST14,1.8991665608914632,5,5,0,1,1,0
205,ST14,1.1440587758836331,3,2,1,1,0,0
206,ST17,1.4975431390469554,4,2,3,1,1,0
207,ST08,0.6509327003067722,14,1,1,0,1,0
208,ST13,2.520438483050014,6,5,1,1,1,1
209,ST14,0.4237183682055321,7,4,1,1,0,0
210,ST02,3.6448303104587523,5,1,2,1,2,0
211,ST12,0.9729717362277822,18,1,0,0,3,0
212,ST06,0.43948462653006765,16,4,0,0,0,0
213,ST03,4.8353303857123615,24,5,2,1,2,1
214,ST03,1.2790605686785963,5,1,0,1,1,0
215,ST02,6.2096763457695685,7,2,1,0,1,0
216,ST16,3.586170440418426,13,3,1,0,1,0
217,ST14,0.7128269721469227,17,1,1,0,0,0
218,ST02,1.2611300186622132,5,2,1,0,1,0
219,ST11,1.487103624094417,7,1,2,0,2,0
220,ST12,4.576994499903174,12,3,1,0,0,0
221,ST09,1.9155679737485678,3,4,2,0,3,1
222,ST11,1.5543136986820596,11,3,3,1,2,0
223,ST16,1.150384610439088,19,2,1,0,1,1
224,ST09,1.29635226617464,14,3,2,1,2,0
225,ST12,3.833099207542724,12,3,1,0,1,1
226,ST10,1.3538661043450892,13,1,0,0,0,0
227,ST07,0.9841294683696415,23,1,2,0,0,1
228,ST16,0.8593270186831692,14,1,3,0,1,1
229,ST08,0.8667435612398593,14,5,2,1,1,0
230,ST14,0.43969375892541546,23,4,0,0,3,0
231,ST11,0.7405958258727345,6,1,0,0,1,1
232,ST12,4.476028781088448,5,2,0,1,2,0
233,ST13,1.1442170357701644,12,3,1,1,0,1
234,ST13,2.371515814422722,10,1,1,0,5,1
235,ST10,0.18581472305605282,7,5,0,0,1,1
236,ST11,2.1268649630871685,5,5,1,0,1,0
237,ST09,1.1863932667994366,22,2,1,1,2,0
238,ST06,0.9183726643267305,16,1,0,1,1,0
239,ST13,1.5601281509571046,18,2,0,0,2,0
240,ST15,0.9078644432964897,5,3,1,0,1,0
241,ST12,0.24681901692935385,10,5,1,1,1,0
242,ST14,2.8229949289542304,16,2,2,1,0,0
243,ST15,1.639537269170329,14,2,1,1,0,0
244,ST07,1.0500586672728154,18,2,2,1,1,1
245,ST02,0.6231622892946085,17,1,2,1,0,1
246,ST06,0.4164928381314661,12,1,2,0,0,0
247,ST13,1.614643461864077,20,3,2,0,2,1
248,ST14,4.907441704211697,8,4,1,1,0,1
249,ST09,1.5880918185401867,4,1,2,1,1,0
250,ST14,0.4465475966645349,23,2,0,0,1,0
251,ST02,1.6162253209023463,3,5,3,0,0,1
252,ST11,1.2934662498674545,9,5,1,1,0,1
253,ST12,2.6945599329964716,5,4,1,0,1,1
254,ST09,2.193254561752054,8,3,2,1,0,0
255,ST13,0.1238532320019016,11,3,1,0,1,0
256,ST09,2.087973051448621,5,2,0,0,0,0
257,ST09,0.6048447124080889,13,2,2,1,2,1
258,ST11,0.43284179244597526,23,2,2,0,2,1
259,ST14,1.1609298417119327,6,4,1,0,0,1
260,ST05,1.8753154536613599,23,4,0,0,0,1
261,ST06,0.36327771278287224,12,4,0,1,0,0
262,ST08,2.3718283979626165,16,4,3,1,3,1
263,ST04,2.4859902671718395,12,1,1,0,1,0
264,ST06,1.4015530693865155,9,4,1,0,1,0
265,ST06,0.6742873631025463,5,5,1,0,2,1
266,ST06,0.6166199536090071,16,4,3,0,2,0
267,ST07,3.0671405335646598,23,3,2,0,1,1
268,ST09,0.4029357539605868,14,2,2,1,1,0
269,ST12,3.1631753120198125,16,4,1,0,1,0
270,ST06,1.1827481515601581,17,3,0,0,2,0
271,ST15,1.2502360835057427,11,2,1,1,1,1
272,ST09,0.3442214205333462,5,3,1,0,0,0
273,ST13,1.2003662227954175,14,1,0,1,2,0
274,ST02,2.2053107150121587,22,5,1,1,2,0
275,ST03,0.4634169592221588,9,4,1,1,0,0
276,ST08,2.011556285361037,22,2,3,0,0,1
277,ST07,1.4494871481574785,21,4,0,0,0,0
278,ST09,0.8065378179547458,8,1,0,0,3,1
279,ST03,2.674435872153091,15,2,2,0,2,1
280,ST09,0.23181737009553355,19,4,2,1,0,0
281,ST12,1.7813020737526633,13,1,0,1,1,0
282,ST13,4.9310311601557295,18,4,1,0,0,1
283,ST05,4.2714549686790155,23,5,2,0,2,1
284,ST06,1.8438308231515879,16,3,2,1,2,0
285,ST09,1.0604097384005273,21,2,1,0,1,0
286,ST09,0.8116857304206817,20,4,2,1,0,1
287,ST14,1.0593540810343725,20,2,1,1,1,0
288,ST07,2.0855775062937187,21,4,1,1,0,1
289,ST12,0.7076575106369619,7,4,1,0,1,1
290,ST16,2.4742542919507007,3,1,0,1,2,0
291,ST06,7.437452723911405,6,1,0,0,1,0
292,ST14,1.2846591264328848,8,1,0,0,1,1
293,ST06,0.46046619163509955,18,1,0,0,0,0
294,ST06,0.4603373001292198,14,2,2,1,0,0
295,ST12,2.5124350978982464,13,1,1,1,0,0
296,ST11,1.2868573159260877,3,5,0,0,2,1
297,ST10,2.7222662589785296,18,5,0,0,1,0
298,ST04,0.8808152329037621,11,1,2,1,1,1
299,ST02,2.6234725422968515,19,2,2,1,1,1
300,ST16,1.1892949603390324,5,4,0,1,0,0
301,ST15,0.7512601786602168,9,4,0,0,1,0
302,ST16,0.9794160198555844,4,3,3,0,3,1
303,ST09,0.5180707389646227,9,5,3,0,0,1
304,ST16,6.62922329238503,23,4,0,1,4,1
305,ST09,1.2496887860468322,13,4,0,0,3,0
306,ST02,2.260557062958528,12,3,2,0,1,1
307,ST04,0.8785387120066739,9,3,1,1,0,0
308,ST05,0.5818501971565269,8,2,1,1,0,0
309,ST07,1.1195150396979754,17,3,0,0,3,0
310,ST16,3.2574804442649596,24,5,2,1,0,1
311,ST06,0.8899540621778121,19,2,0,1,0,0
312,ST11,0.6727203399079857,19,1,0,0,3,0
313,ST05,1.5286292143758928,13,3,0,0,2,0
314,ST11,2.0121787305514967,5,4,0,0,2,0
315,ST10,5.02426178694551,18,5,0,0,0,1
316,ST03,1.7914052768255446,20,3,3,0,3,1
317,ST08,2.2596143176754193,14,4,2,0,1,1
318,ST02,2.3998834880658806,5,2,1,1,1,0
319,ST16,0.5366483151945308,18,3,1,1,1,0
320,ST12,0.6245863699760685,23,3,1,1,0,0
321,ST17,0.5671581830651621,7,2,3,0,1,1
322,ST15,0.46500059001165517,6,4,2,1,0,0
323,ST04,2.550700174960143,19,5,3,1,1,1
324,ST13,1.7024017929104294,10,2,2,1,0,0
325,ST02,1.438494168999842,18,1,0,1,2,1
326,ST17,0.16962363427070773,18,5,0,0,0,0
327,ST14,6.989307539539111,8,5,0,1,1,0
328,ST12,0.6600645779807459,3,5,2,1,0,0
329,ST17,6.968849905348705,15,2,1,1,3,1
330,ST15,0.42341894154459825,11,4,3,0,3,1
331,ST15,0.7047438138322083,21,4,1,1,1,0
332,ST02,0.2317074936550925,10,4,0,1,1,0
333,ST01,1.8034472653357374,8,5,1,1,1,1
334,ST17,0.5593356959478416,21,5,1,0,1,1
335,ST05,0.5721236593580202,19,3,4,0,1,1
336,ST08,0.45022340054998555,16,1,0,1,0,0
337,ST01,2.5140224753163634,23,1,2,1,0,0
338,ST11,2.384932736587776,20,5,1,0,1,0
339,ST14,5.752457258713581,22,5,0,1,0,1
340,ST15,0.7799189329163247,20,1,1,1,1,0
341,ST10,1.6081034396646088,11,2,3,0,0,1
342,ST12,0.4812019907092948,4,2,1,0,2,1
343,ST09,1.0324852724823896,16,2,2,1,2,1
344,ST08,0.8912981792725121,19,4,0,1,2,0
345,ST10,1.9572882434541305,24,3,2,1,2,1
346,ST16,3.045354897077005,17,3,0,1,1,0
347,ST05,2.982772844645887,15,3,0,0,0,0
348,ST08,0.6878050644344025,15,4,2,0,2,1
349,ST11,3.0004861444760236,5,4,1,1,0,0
350,ST10,1.3030815601513706,3,1,1,1,1,0
351,ST01,1.041146472392814,3,1,1,0,2,1
352,ST05,0.7658191839007823,22,2,0,1,1,0
353,ST11,0.8624754144320282,20,3,2,0,2,1
354,ST12,5.440391781632019,8,5,3,0,1,1
355,ST13,1.726210620291393,12,5,1,0,2,0
356,ST17,1.5522251436132304,13,4,0,0,1,0
357,ST12,1.0943958908468454,8,1,0,1,1,0
358,ST10,9.552308845034526,12,1,0,1,1,1
359,ST06,3.834382446976984,10,3,3,0,2,1
360,ST07,0.7581684474514995,18,3,2,1,3,1
361,ST15,1.0844879674866619,19,4,2,1,0,0
362,ST08,1.13724010350625,5,1,2,1,1,0
363,ST13,1.516943693432934,13,5,1,0,0,0
364,ST03,0.7702957136914939,24,3,4,1,2,1
365,ST03,1.9175593752139397,22,3,2,0,0,0
366,ST04,4.313158669414805,20,1,2,0,1,1
367,ST04,0.4719404402813274,19,5,2,1,0,1
368,ST11,0.5474318008687128,3,3,0,0,0,1
369,ST11,0.9171109293103444,24,2,0,0,0,1
370,ST10,0.9517656427425103,19,2,1,1,0,0
371,ST05,6.6776938759790125,22,2,0,1,1,0
372,ST10,3.008276658254151,22,1,0,0,2,0
373,ST03,2.8732904798605556,8,5,0,0,2,0
374,ST09,1.0925423867650645,3,5,2,0,3,1
375,ST03,1.0735267693808004,17,5,0,1,0,0
376,ST02,0.4225851428233204,13,2,0,1,2,0
377,ST03,2.5228574867673834,3,3,0,1,1,0
378,ST02,1.9993930986751034,8,3,1,0,0,0
379,ST09,3.776500894922075,24,3,2,0,1,1
380,ST10,1.1403511363422865,10,3,1,0,1,0
381,ST11,1.2051170305796468,8,3,0,0,2,1
382,ST08,1.546565124030756,17,4,2,1,4,1
383,ST03,2.7552772159873977,17,1,2,0,2,0
384,ST01,0.41637353635713786,10,1,1,1,0,0
385,ST13,2.432318473951141,21,5,0,1,1,1
386,ST17,1.327906378247794,15,5,0,0,1,1
387,ST05,0.578735449955744,6,5,2,1,1,0
388,ST04,0.2546959999356843,10,2,0,1,1,0
389,ST06,1.2102428361395448,21,3,2,0,0,0
390,ST04,4.298088489849562,4,1,1,0,1,0
391,ST04,5.1538691991336005,3,2,2,0,1,0
392,ST09,1.7937366689179834,17,4,0,0,0,0
393,ST14,6.485730986980667,12,2,1,1,2,0
394,ST13,1.3042747427887398,8,3,1,1,2,1
395,ST17,2.894009298740615,13,1,5,0,1,1
396,ST07,0.9408376240147455,7,3,1,1,1,1
397,ST09,0.8943312278938669,11,4,2,1,0,1
398,ST07,0.7850504517619392,8,3,0,0,2,0
399,ST01,0.25964936411594464,15,3,1,1,0,1
